date,points,start_time,end_time,start_coord,end_coord,rough_distance_km,area_hint
2026-04-22,74,2026-04-22T00:18:00+08:00,2026-04-22T22:47:07+08:00,"24.837321,121.014969","25.077292,121.228475",53.2,台灣 / 桃園-新竹一帶
2026-04-23,61,2026-04-23T08:31:00+08:00,2026-04-23T23:57:00+08:00,"25.244353,55.370382","40.944030,-4.149144",5758.3,杜拜機場 / 杜拜周邊 → 馬德里 / 塞哥維亞 / 托雷多一帶
2026-04-24,136,2026-04-24T00:01:00+08:00,2026-04-24T23:29:00+08:00,"40.941928,-4.117993","39.856545,-4.026263",220.8,馬德里 / 塞哥維亞 / 托雷多一帶
2026-04-25,113,2026-04-25T00:00:00+08:00,2026-04-25T23:59:00+08:00,"39.856766,-4.023928","37.881057,-4.778736",322.5,馬德里 / 塞哥維亞 / 托雷多一帶 → 跨區移動 / 飛行段 → 哥多華 / 安達盧西亞內陸
2026-04-26,112,2026-04-26T00:03:00+08:00,2026-04-26T23:43:00+08:00,"37.882606,-4.777186","37.181407,-3.592815",194.3,哥多華 / 安達盧西亞內陸 → 格拉納達一帶
2026-04-27,148,2026-04-27T00:12:00+08:00,2026-04-27T23:58:00+08:00,"37.184498,-3.594088","37.147989,-5.634787",348.3,格拉納達一帶 → 跨區移動 / 飛行段 → 塞維亞一帶
2026-04-28,120,2026-04-28T00:03:00+08:00,2026-04-28T23:58:00+08:00,"37.175133,-5.667652","37.446014,-5.962428",89.6,塞維亞一帶
2026-04-29,105,2026-04-29T00:02:00+08:00,2026-04-29T23:30:00+08:00,"37.697406,-5.928552","41.612559,2.344987",972.0,塞維亞一帶 → 巴塞隆納 / 蒙塞拉特一帶
2026-04-30,81,2026-04-30T00:29:00+08:00,2026-04-30T23:56:00+08:00,"41.610172,2.343163","41.414098,2.161010",58.6,巴塞隆納 / 蒙塞拉特一帶
2026-05-01,92,2026-05-01T00:01:00+08:00,2026-05-01T23:41:00+08:00,"41.406882,2.168592","41.286879,2.073108",35.6,巴塞隆納 / 蒙塞拉特一帶
2026-05-02,58,2026-05-02T00:17:55+08:00,2026-05-02T21:23:13+08:00,"41.287128,2.076784","24.837422,121.014866",11789.3,巴塞隆納 / 蒙塞拉特一帶 → 台灣 / 桃園-新竹一帶
